id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt6158254,The Feels,N/A,USA,"Comedy, Drama","Naje Lataillade, Tim Manley",N/A,N/A,N/A,N/A,NA,63 min,movie,N/A
tt4159698,The Fiancé,N/A,USA,Horror,Mark Allen Michaels,N/A,Firebreathing Films,UNRATED,3.5,NA,79 min,movie,91
tt4838334,The Fight Within,N/A,USA,"Action, Romance, Sport",Michael William Gordon,N/A,New Life Cinema,PG-13,5.7,40%,94 min,movie,245
tt3758334,The Final Project,N/A,USA,"Horror, Thriller",Taylor Ri'chard,11,Cavu Pictures,N/A,2.8,38%,82 min,movie,259
tt5828388,Final Sacrifice,N/A,USA,Drama,Ari Taub,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5936356,The Finders,N/A,USA,Drama,"Tracy Lucca, Anthony Berenato Jr.",N/A,N/A,N/A,N/A,NA,75 min,movie,N/A
tt2025690,The Finest Hours,"$20,278,493",USA,"Drama, History, Thriller",Craig Gillespie,58,Walt Disney Pictures,PG-13,6.7,64%,117 min,movie,"57,484"
tt5505986,The First 24,N/A,USA,"Crime, Drama, Mystery",Derek Efrain Villanueva,N/A,N/A,N/A,N/A,NA,50 min,movie,N/A
tt5563192,The First American,N/A,USA,"Biography, History",Kevin Knoblock,N/A,N/A,Not Rated,7.8,NA,95 min,movie,64
tt4992054,The First of Our Friends to Get Married,N/A,USA,Comedy,"Julia Kennelly, Charlotte Martin",N/A,N/A,N/A,N/A,NA,93 min,movie,N/A
tt4694134,The Fisher: Rampage,N/A,USA,"Action, Adventure, Drama",Derek Klanfer,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7140974,"The Flying Vet of Lafayette, the Story of Dr. Louis Leonpacher",N/A,USA,History,Eric Breaux,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6014668,The Forbidden Fables,N/A,USA,"Fantasy, Horror, Thriller",Dorian Cleavenger,N/A,N/A,N/A,N/A,NA,95 min,movie,N/A
tt3387542,The Forest,"$21,818,536",USA,"Horror, Mystery, Thriller",Jason Zada,34,Gramercy Pictures,PG-13,4.8,10%,93 min,movie,"37,474"
tt5479924,The Forgiven,N/A,USA,Drama,Stonz Walters,N/A,N/A,N/A,N/A,NA,98 min,movie,N/A
tt4276820,The Founder,"$12,785,093",USA,"Biography, Drama, History",John Lee Hancock,66,The Weinstein Company,PG-13,7.2,81%,115 min,movie,"104,779"
tt3517044,The Free World,N/A,USA,"Drama, Romance",Jason Lew,46,Revelstoke Productions,R,6.1,47%,100 min,movie,"1,425"
tt3895248,The Freeze,N/A,USA,"Crime, Mystery, Thriller",Devin Hylton,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3228196,The Friend Zone,N/A,USA,Comedy,Zachary Bucholtz,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6448084,Arctic Adventure: On Frozen Pond,N/A,"China, USA",Animation,Guangxi Chang,N/A,N/A,PG,5.5,NA,87 min,movie,47
tt2452386,The Fundamentals of Caring,N/A,USA,"Comedy, Drama",Rob Burnett,55,Netflix,TV-MA,7.3,77%,97 min,movie,"51,359"
tt6558518,The Funny Life of Pets,N/A,USA,Animation,Evan Tramel,N/A,N/A,N/A,2.4,NA,83 min,movie,13
tt5786556,The Game,N/A,USA,Comedy,Josh Klaasen,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5615410,The Gamer's Guide to Surviving the Camping Apocalypse,N/A,USA,Comedy,Nathaniel Schexnayder,N/A,N/A,N/A,N/A,NA,45 min,movie,N/A
tt5342372,The Gifts,N/A,USA,Family,Randa Wise,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2833580,The Girl,N/A,USA,"Sci-Fi, Thriller",Jennifer Blanc-Biehn,N/A,N/A,Not Rated,3.5,NA,79 min,movie,170
tt5034082,The Girl in the Cornfield,N/A,USA,"Horror, Mystery",Ryan Callaway,N/A,N/A,Not Rated,4.2,NA,81 min,movie,171
tt2387589,The Girl on the Train,"$2,874",USA,Thriller,Larry Brand,N/A,Monterey Media,R,4.3,NA,80 min,movie,849
tt3631112,The Girl on the Train,"$75,311,445","USA, India","Crime, Drama, Mystery, Thriller",Tate Taylor,48,Universal Pictures,R,6.5,44%,112 min,movie,"156,803"
tt7588802,The Gods Obscure,N/A,USA,N/A,Christina Rosati,N/A,N/A,N/A,N/A,NA,75 min,movie,N/A
tt4184054,The Golden Plates,N/A,USA,Thriller,Tara-Nicole Azarian,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5025254,The Golden Rut,N/A,USA,Comedy,"Josh Ashy Holden, Nick Holden",N/A,N/A,N/A,7.7,NA,80 min,movie,7
