title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt6856718,Meant to Be Broken,N/A,USA,Action,Jonathan Zuck,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt2670882,Measure of a Man,N/A,USA,"Comedy, Drama",Jim Loach,53,Great Point Media,PG-13,6.3,52%,100 min,movie,859
tt7664772,Meathook Massacre 4,N/A,USA,Horror,John Ward,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5607324,Medic ZerØ,N/A,USA,Drama,Matt Oyler,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8329540,Meeting the Folks,N/A,USA,N/A,Fred T.,N/A,N/A,N/A,6.6,NA,80 min,movie,7
tt6594244,Megan's Christmas Miracle,N/A,USA,Family,Deven Bromme,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4807398,Melinda,N/A,USA,Drama,Marishka Phillips,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8617064,Melody on Earth,N/A,USA,"Comedy, Drama, Sci-Fi",Joshua Courtade,N/A,N/A,N/A,8.1,NA,N/A,movie,11
tt5273284,Meme,N/A,USA,Drama,Sean Mannion,N/A,N/A,N/A,9.1,NA,N/A,movie,9
tt8602902,Memory/Lies,N/A,USA,Drama,Gary Mairs,N/A,N/A,N/A,7.8,NA,94 min,movie,5
tt7173784,Menagerie,N/A,USA,N/A,Sarah Martin,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5804846,Mercy's Girl,N/A,USA,"Drama, Romance",Emily Lape,N/A,N/A,N/A,N/A,NA,123 min,movie,N/A
tt8865872,Mermaids,N/A,USA,"Short, Musical",Babak Mansouri,N/A,N/A,N/A,N/A,NA,76 min,movie,N/A
tt9150394,Merry Wish-Mas,N/A,USA,N/A,Terri J. Vaughn,N/A,N/A,N/A,6.8,NA,N/A,movie,6
tt8149240,Merryland,N/A,USA,N/A,Mayur Ramgir,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7914308,Messiah,N/A,USA,"Action, Horror, Sci-Fi, Thriller",D.J. Rivera,N/A,N/A,N/A,N/A,NA,62 min,movie,N/A
tt8097932,Metal Gamer,N/A,USA,N/A,Steven Farmer,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6385016,Metalloid: Freshman,N/A,USA,"Action, Comedy, Sci-Fi",Chase Diedrich,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt8299862,Michael Yo: Blasian,N/A,USA,N/A,Devon Shepard,N/A,Comedy Dynamics,N/A,N/A,NA,56 min,movie,N/A
tt5613484,Mid90s,N/A,USA,"Comedy, Drama",Jonah Hill,66,A24,R,7.4,81%,85 min,movie,"33,092"
tt3060342,Middle of the Night,N/A,USA,Horror,David Scheinbaum,N/A,N/A,N/A,N/A,NA,77 min,movie,N/A
tt4275214,Midnight Detour,N/A,"Germany, USA, Canada","Comedy, Thriller",Ludovic Bernard,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4372572,Midnight Massacre,N/A,USA,"Action, Sci-Fi","Travis Bowen, Byron Cherry, Don Pedro Colley, Linda Harrison",N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt4799066,Midnight Sun,N/A,USA,"Drama, Romance",Scott Speer,38,Open Road Films,PG-13,6.6,22%,91 min,movie,"18,538"
tt4560436,Mile 22,N/A,"China, USA, Colombia","Action, Thriller",Peter Berg,38,STXfilms,R,6.1,23%,94 min,movie,"55,125"
tt9023974,Milk and Strawberries,N/A,USA,Mystery,Erynn Mitchell,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt6131232,Mimesis: A Symphony of Horror,N/A,USA,Horror,Douglas Schulze,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt7646806,Mindstate,N/A,USA,"Short, Drama",Lucy Morningstar,N/A,N/A,N/A,N/A,NA,15 min,movie,N/A
tt3312552,Minor Motion Picture,N/A,USA,Drama,Justin Ho,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt3079568,Minutes to Midnight,N/A,USA,"Action, Horror",Christopher Ray,N/A,DeInstitutionalized LLC,Not Rated,3.4,NA,91 min,movie,186
tt7883448,Mirrors,N/A,USA,"Sci-Fi, Thriller",Michael Wellenreiter,N/A,N/A,N/A,N/A,NA,92 min,movie,N/A
