title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt2294449,22 Jump Street,"$154,295,930",usa,"Action, Comedy, Crime","Phil Lord, Christopher Miller",71.0,Sony Pictures,R,7.0,84%,112 min,movie,"329,222"
tt2304459,23 Blast,"$485,128",usa,"Drama, Family, Sport",Dylan Baker,45.0,Ocean Avenue Entertainment,PG-13,6.5,36%,98 min,movie,"1,618"
tt2123884,3 Nights in the Desert,"$1,279",usa,Drama,Gabriel Cowan,,Monterey Media Inc.,R,5.3,40%,90 min,movie,"1,414"
tt1253863,300: Rise of an Empire,"$91,024,535",usa,"Action, Drama",Noam Murro,48.0,Warner Bros. Pictures,R,6.2,45%,102 min,movie,"269,785"
tt2486678,5 to 7,"$117,066",usa,"Comedy, Drama, Romance",Victor Levin,52.0,IFC Films,R,7.1,69%,95 min,movie,"17,382"
tt1777595,50 to 1,"$1,063,723",usa,Drama,Jim Wilson,37.0,Ten Furlongs LLC.,PG-13,6.4,29%,110 min,movie,"1,797"
tt2406306,A Bit of Bad Luck,"$6,104",usa,"Comedy, Drama, Thriller",John Fuhrman,,Indican Pictures,Not Rated,4.8,,86 min,movie,238
tt2828996,A Haunted House 2,"$13,710,572",usa,"Comedy, Fantasy",Michael Tiddes,17.0,Open Road Films,R,4.7,8%,86 min,movie,"18,658"
tt2587914,A Matter of Faith,"$660,659",usa,Drama,Rich Christiano,,Truman Scott Films,PG,3.7,,89 min,movie,"1,258"
tt2557490,A Million Ways to Die in the West,"$37,331,031",usa,"Comedy, Western",Seth MacFarlane,44.0,Universal Pictures,R,6.1,34%,116 min,movie,"163,828"
tt1972571,A Most Wanted Man,"$14,037,964","uk, usa, germany","Crime, Drama, Thriller",Anton Corbijn,73.0,Lionsgate/Roadside Attractions,R,6.8,87%,122 min,movie,"69,362"
tt1826590,About Last Night,"$39,477,140",usa,"Comedy, Romance",Steve Pink,62.0,Sony Pictures,R,6.1,69%,100 min,movie,"21,644"
tt2205401,Addicted,"$17,382,982",usa,"Drama, Thriller",Bille Woodruff,32.0,Lionsgate,R,5.2,7%,106 min,movie,"7,842"
tt3318750,Adult Beginners,"$104,415",usa,"Comedy, Drama",Ross Katz,57.0,Radius,R,5.6,48%,92 min,movie,"7,778"
tt4486228,Aftermath,"$2,955",usa,Drama,"Katherine Donovan, Isabel Ebeid, Connor Geary, Jillian Korey, Catie Mitchell, Kayli Ross, Ben Senior",,Freestyle Releasing,,,,65 min,movie,
tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$56,752,482",usa,"Comedy, Family",Miguel Arteta,54.0,Walt Disney Pictures,PG,6.2,61%,81 min,movie,"38,338"
tt3293462,Algorithm,"$1,360",usa,"Crime, Drama, Thriller",Jon Schiefer,,First Run Features,,4.7,77%,91 min,movie,825
tt2510434,Alien Abduction,"$10,514",usa,"Horror, Sci-Fi, Thriller",Matty Beckerman,46.0,IFC Films,Not Rated,4.9,28%,85 min,movie,"7,572"
tt2421868,Allure,"$1,918",usa,Drama,Vladan Nikolic,,,TV-14,7.5,40%,83 min,movie,283
tt2179136,American Sniper,"$274,377,268",usa,"Action, Biography, Drama, War",Clint Eastwood,72.0,Warner Bros.,R,7.3,72%,133 min,movie,"413,938"
tt3139538,Amira & Sam,"$31,849",usa,"Comedy, Drama, Romance",Sean Mullin,58.0,Drafthouse Films,Not Rated,6.1,77%,90 min,movie,"2,457"
