title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt4158624,3 Generations,"$66,371",usa,Drama,Gaby Dellal,47.0,The Weinstein Company,PG-13,5.9,32%,92 min,movie,"5,250"
tt2611160,A Beautiful Now,"$1,504",usa,"Comedy, Drama, Music",Daniela Amavia,,Unified Pictures,R,5.7,,90 min,movie,27
tt1135989,A Tale of Love and Darkness,"$569,381","israel, usa","Biography, Drama, History, Mystery, Romance, War",Natalie Portman,55.0,Focus World,PG-13,6.0,70%,95 min,movie,"3,185"
tt1178665,A Walk in the Woods,"$19,189,413",usa,"Adventure, Biography, Comedy, Drama",Ken Kwapis,51.0,Broad Green Pictures,R,6.3,47%,104 min,movie,"22,701"
tt1243974,Aloha,"$15,669,178",usa,"Comedy, Drama, Romance",Cameron Crowe,40.0,Sony Pictures,PG-13,5.4,20%,105 min,movie,"57,595"
tt2974918,Alvin and the Chipmunks: The Road Chip,"$66,580,191",usa,"Animation, Adventure, Comedy, Family, Fantasy, Music",Walt Becker,33.0,20th Century Fox,PG,5.0,15%,92 min,movie,"15,320"
tt3317208,Anesthesia,"$22,386",usa,"Crime, Drama",Tim Blake Nelson,55.0,IFC Films,R,6.1,26%,90 min,movie,"3,992"
tt0478970,Ant-Man,"$138,002,223",usa,"Action, Adventure, Comedy, Sci-Fi",Peyton Reed,64.0,Disney/Marvel,PG-13,7.3,83%,117 min,movie,"529,594"
tt3774466,Ashby,"$4,631",usa,"Comedy, Crime, Drama, Romance",Tony McNamara,46.0,The Film Arcade,R,6.4,52%,100 min,movie,"13,925"
tt2395427,Avengers: Age of Ultron,"$429,113,729",usa,"Action, Adventure, Sci-Fi",Joss Whedon,66.0,Walt Disney Pictures,PG-13,7.3,75%,141 min,movie,"692,489"
tt1365050,Beasts of No Nation,"$83,861",usa,"Drama, War",Cary Joji Fukunaga,79.0,Netflix,Not Rated,7.7,92%,137 min,movie,"66,703"
tt4630444,Being Charlie,"$11,872",usa,"Drama, Romance",Rob Reiner,47.0,Castle Rock Entertainment,R,6.3,23%,97 min,movie,"3,691"
tt2433040,Beyond the Mask,"$1,231,025",usa,"Action, Adventure, Drama, Romance",Chad Burns,,Freestyle Releasing,PG,5.0,17%,103 min,movie,"2,635"
tt1355683,Black Mass,"$48,786,443","usa, uk","Biography, Crime, Drama",Scott Cooper,68.0,Warner Bros Pictures,R,6.9,73%,123 min,movie,"159,482"
tt2717822,Blackhat,"$5,686,515",usa,"Action, Crime, Thriller",Michael Mann,51.0,Universal Studios,R,5.4,33%,133 min,movie,"49,669"
tt3732950,Body,"$2,457",usa,"Crime, Drama, Thriller","Dan Berk, Robert Olsen",49.0,Oscilloscope Pictures,Not Rated,5.2,42%,75 min,movie,"1,595"
tt3262990,Brotherly Love,"$46,290",usa,Drama,Jamal Hill,,Freestyle Releasing,R,6.7,,89 min,movie,"1,604"
tt3770426,Burning Bodhi,"$3,289",usa,Drama,Matthew McDuffie,,,R,4.8,,93 min,movie,374
tt3707106,By the Sea,"$319,968","france, malta, usa","Drama, Romance",Angelina Jolie,44.0,Universal Pictures,R,5.3,35%,122 min,movie,"16,976"
tt3268668,Captive,"$1,963,974","mexico, usa","Action, Crime, Drama, Thriller",Jerry Jameson,36.0,Paramount Pictures,PG-13,5.4,27%,97 min,movie,"6,168"
tt5197250,Captives,"$1,963,974",usa,"Action, Crime, Drama",Baron Redman,,Paramount Pictures,,,27%,81 min,movie,
tt2402927,Carol,"$8,518,148","uk, usa","Drama, Romance",Todd Haynes,95.0,The Weinstein Company,R,7.2,94%,118 min,movie,"105,585"
tt3735398,Carter High,"$146,040",usa,"Crime, Drama, Sport",Arthur Muhammad,,Play Now Enterprise,PG-13,5.1,,110 min,movie,454
tt4594834,Chi-Raq,"$2,647,378",usa,"Comedy, Crime, Drama, Musical",Spike Lee,77.0,LionsGate Entertainment,R,5.7,82%,127 min,movie,"8,398"
tt1014763,Child 44,"$1,314,609","czech republic, uk, usa, russia","Crime, Drama, History, Thriller",Daniel Espinosa,41.0,Summit Entertainment,R,6.5,27%,137 min,movie,"61,747"
tt3481000,Chocolate City,"$212,223",usa,Drama,Jean-Claude La Marre,,Freestyle Releasing,R,3.9,,91 min,movie,961
tt3703148,Christmas Eve,"$81,992",usa,Comedy,Mitch Davis,24.0,Unstuck,PG,5.0,0%,95 min,movie,"2,209"
tt1661199,Cinderella,"$183,327,144","usa, uk","Drama, Family, Fantasy, Romance",Kenneth Branagh,67.0,Walt Disney Pictures,PG,6.9,85%,105 min,movie,"148,539"
tt4048168,Coming Through the Rye,"$4,000",usa,Drama,James Steven Sadwith,64.0,Red Hat Films,PG-13,6.3,70%,97 min,movie,768
