title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt3914332,Dean,"$248,849",usa,"Comedy, Drama, Romance",Demetri Martin,58.0,CBS Films,PG-13,6.3,62%,94 min,movie,"1,631"
tt1179933,10 Cloverfield Lane,"$59,481,553",usa,"Drama, Horror, Mystery, Sci-Fi, Thriller",Dan Trachtenberg,76.0,Bad Robot Productions,PG-13,7.2,90%,103 min,movie,"269,363"
tt4172430,13 Hours,"$37,978,162","malta, morocco, usa","Action, Drama, History, Thriller, War",Michael Bay,48.0,Paramount Pictures,R,7.3,51%,144 min,movie,"107,396"
tt4385888,20th Century Women,"$5,663,854",usa,"Comedy, Drama",Mike Mills,83.0,A24 Films,R,7.3,89%,119 min,movie,"34,223"
tt5791932,3 Weeks in Yerevan,"$29,245",usa,Comedy,"Vahe Berberian, Vahik Pirhamzei",,Wet Paint Production,,7.7,,,movie,165
tt3835080,31,"$779,820","uk, usa","Horror, Thriller",Rob Zombie,35.0,Bow and Arrow Entertainment,R,5.1,47%,102 min,movie,"16,610"
tt4058122,A Beginner's Guide to Snuff,"$5,204",usa,"Comedy, Horror, Thriller",Mitchell Altieri,,Indican Pictures,Unrated,4.8,,87 min,movie,292
tt4731136,A Cure for Wellness,"$8,103,139","usa, germany","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Gore Verbinski,47.0,20th Century Fox,R,6.4,42%,146 min,movie,"73,912"
tt3416532,A Monster Calls,"$3,730,982","uk, spain, usa","Animation, Drama, Fantasy",J.A. Bayona,76.0,Focus Features,PG-13,7.5,86%,108 min,movie,"73,673"
tt2392830,A Quiet Passion,"$1,864,266","uk, belgium, usa, canada","Biography, Drama",Terence Davies,77.0,Hurricane Films,PG-13,6.4,92%,125 min,movie,"4,790"
tt3387266,A United Kingdom,"$3,901,302","czech republic, uk, usa, france, botswana","Biography, Drama, Romance",Amma Asante,65.0,Harbinger Pictures,PG-13,6.8,84%,111 min,movie,"12,774"
tt2112096,Absolutely Fabulous: The Movie,"$4,750,497","uk, usa","Comedy, Crime",Mandie Fletcher,59.0,DJ Films,R,5.4,58%,91 min,movie,"11,209"
tt2567026,Alice Through the Looking Glass,"$77,037,635","usa, uk","Adventure, Family, Fantasy",James Bobin,34.0,Walt Disney Pictures,PG,6.2,30%,113 min,movie,"83,504"
