title_id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt5709188,A-X-L,"$2,147",USA,"Action, Adventure, Family, Sci-Fi, Thriller",Oliver Daly,29.0,Cranium Entertainment,PG,5.2,70%,98 min,movie,"8,156"
tt2798920,Annihilation,"$20,636,742","UK, USA","Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Alex Garland,79.0,Paramount Pictures,R,6.9,88%,115 min,movie,"246,241"
tt4154756,Avengers: Infinity War,"$664,987,816",USA,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo",68.0,Walt Disney Pictures,PG-13,8.5,85%,149 min,movie,"732,619"
tt1825683,Black Panther,"$501,105,037",USA,"Action, Adventure, Sci-Fi",Ryan Coogler,88.0,Marvel Studios,PG-13,7.3,97%,134 min,movie,"555,834"
tt5314450,Burden,"$18,001",USA,Drama,Andrew Heckler,63.0,Magnolia Pictures,R,6.3,97%,129 min,movie,235
tt4538294,Collider,"$2,196,654",USA,"Action, Sci-Fi",Justin Lewis,,Open Road Films,,3.6,21%,84 min,movie,252
tt5650436,Lemons,"$29,074",USA,Comedy,Mike DeBarr,,Magnolia Pictures,,,56%,,movie,
tt1137450,Death Wish,"$13,025,000","USA, Canada","Action, Crime, Drama, Thriller",Eli Roth,31.0,MGM,R,6.4,18%,107 min,movie,"55,149"
tt1259528,Den of Thieves,"$44,680,327",USA,"Action, Crime, Drama, Mystery, Thriller",Christian Gudegast,49.0,STX Entertainment,R,7.0,41%,140 min,movie,"76,135"
tt7026672,Every Day,"$5,260,834",USA,"Drama, Fantasy, Romance",Michael Sucsy,52.0,Orion Pictures,PG-13,6.4,62%,97 min,movie,"15,388"
tt4477536,Fifty Shades Freed,"$95,599,460",USA,"Drama, Romance, Thriller",James Foley,31.0,Universal Pictures,R,4.5,12%,105 min,movie,"47,205"
tt4103724,Forever My Girl,"$16,174,498",USA,"Drama, Music, Romance",Bethany Ashton Wolf,36.0,Roadside Attractions and LD Entertainment,PG,6.7,24%,108 min,movie,"11,934"
tt2704998,Game Night,"$33,537,766",USA,"Action, Comedy, Crime, Mystery","John Francis Daley, Jonathan Goldstein",66.0,New Line Cinema,R,6.9,85%,100 min,movie,"175,889"
tt4921208,The Gift,"$33,061,006",USA,Drama,Sunny Zhao,,STX Entertainment,,,92%,72 min,movie,
tt5726086,Insidious: The Last Key,"$29,581,355","Canada, USA","Horror, Mystery, Thriller",Adam Robitel,49.0,Universal Pictures,PG-13,5.7,33%,103 min,movie,"46,257"
tt0795421,Mamma Mia!,"$143,704,210","USA, UK, Germany","Comedy, Musical, Romance",Phyllida Lloyd,51.0,Universal Pictures,PG-13,6.4,54%,108 min,movie,"200,278"
tt4500922,Maze Runner: The Death Cure,"$57,074,211",USA,"Action, Adventure, Sci-Fi, Thriller",Wes Ball,50.0,20th Century Fox,PG-13,6.2,43%,143 min,movie,"98,780"
tt5039992,Natural Vice,"$20,757,977",USA,Action,Izzy Traub,,Open Road Films,TV-MA,4.0,23%,81 min,movie,66
tt6456222,Nostalgia,"$84,864",USA,Drama,Mark Pellington,47.0,Bleecker Street,R,5.4,40%,114 min,movie,830
tt5117670,Peter Rabbit,"$84,060,376","USA, Australia","Animation, Adventure, Comedy, Family, Fantasy",Will Gluck,51.0,Columbia Pictures,PG,6.5,64%,95 min,movie,"30,026"
tt2873282,Red Sparrow,"$17,000,000",USA,"Action, Drama, Thriller",Francis Lawrence,53.0,Twentieth Century Fox,R,6.6,45%,140 min,movie,"146,584"
tt6951892,Samson,"$4,436,089","South Africa, USA","Action, Drama","Bruce Macdonald, Gabriel Sabloff(co-director)",17.0,Pure Flix Entertainment,PG-13,4.4,25%,110 min,movie,"3,768"
tt5643994,Silence,"$7,063,885",USA,Thriller,Clark D. Schaefer,,Paramount Pictures,,,83%,,movie,
tt6802308,The 15:17 to Paris,"$35,003,216",USA,"Biography, Drama, Thriller",Clint Eastwood,45.0,,PG-13,5.2,23%,94 min,movie,"24,336"
tt1590193,The Commuter,"$36,241,300","France, USA","Action, Mystery, Thriller",Jaume Collet-Serra,56.0,Lionsgate,PG-13,6.3,56%,105 min,movie,"90,152"
tt2466644,The Truth,"$1,580,106",USA,"Adventure, Drama",Christina Melinder,,Sony Pictures,,,63%,,movie,
tt1072748,Winchester,"$24,553,838","Australia, USA","Biography, Drama, Fantasy, Horror, Mystery, Thriller","Michael Spierig, Peter Spierig",28.0,CBS Films,PG-13,5.4,14%,99 min,movie,"26,259"
