title,box_office,country,genre,production,rating,runtime,year
The Hunger Games,1,1,4,Lionsgate,PG-13,142,2014
The Hunger Games: Mockingjay - Part 1,1,1,4,Lionsgate Films,PG-13,123,2014
The Hangover,1,2,1,Warner Bros. Pictures,R,100,2014
American Sniper,1,1,4,Warner Bros.,R,133,2014
Guardians of the Galaxy,1,1,4,Walt Disney Pictures,PG-13,121,2014
The Lego Movie,1,3,6,Warner Bros. Pictures,PG,100,2014
Captain America: The Winter Soldier,1,1,3,Walt Disney Pictures,PG-13,136,2014
Transformers: Age of Extinction,1,3,3,Paramount Pictures,PG-13,165,2014
X-Men: Days of Future Past,1,3,4,20th Century Fox,PG-13,132,2014
Maleficent,1,1,5,Walt Disney Pictures,PG,97,2014
The Hobbit: The Battle of the Five Armies,1,2,2,Warner Bros.,PG-13,144,2014
Dawn of the Planet of the Apes,1,3,4,20th Century Fox,PG-13,130,2014
The Amazing Spider-Man 2,1,1,3,Sony Pictures,PG-13,142,2014
Godzilla,1,2,4,Warner Bros Pictures,PG-13,123,2014
Teenage Mutant Ninja Turtles,1,1,4,Paramount Pictures,PG-13,101,2014
Interstellar,1,3,3,Paramount Pictures,PG-13,169,2014
22 Jump Street,1,1,3,Sony Pictures,R,112,2014
How to Train Your Dragon 2,1,1,5,20th Century Fox,PG,102,2014
Neighbors,1,1,1,Universal Pictures,R,97,2014
Divergent,1,1,4,Lionsgate Films/Summit Entertainment,PG-13,139,2014
Kingsman: The Secret Service,0,2,4,20th Century Fox,R,129,2014
Rio 2,0,1,5,20th Century Fox,G,101,2014
Ride Along,0,1,3,Universal Pictures,PG-13,99,2014
Lucy,0,4,3,Universal Pictures,R,89,2014
Mr. Peabody & Sherman,0,1,5,20th Century Fox,PG,92,2014
Noah,0,1,5,Paramount Pictures,PG-13,138,2014
The Maze Runner,0,2,4,20th Century Fox,PG-13,113,2014
300: Rise of an Empire,0,1,2,Warner Bros. Pictures,R,102,2014
Into the Woods,0,1,5,Walt Disney Pictures,PG,125,2014
Paddington,0,3,4,The Weinstein Company,PG,95,2014
The Equalizer,0,1,3,Sony Pictures,R,132,2014
Night at the Museum: Secret of the Tomb,0,2,4,20th Century Fox,PG,98,2014
Non-Stop,0,4,3,Universal Pictures,PG-13,106,2014
The Other Woman,0,1,2,20th Century Fox,PG-13,109,2014
Edge of Tomorrow,0,2,2,Warner Bros. Pictures,PG-13,113,2014
Fury,0,3,3,Sony Pictures,R,134,2014
Penguins of Madagascar,0,1,5,DreamWorks Animation,PG,92,2014
Unbroken,0,1,4,Universal Pictures,PG-13,137,2014
The Monuments Men,0,2,4,Sony Pictures,PG-13,118,2014
God's Not Dead,0,1,1,Pure Flix Entertainment,PG,113,2014
Hercules,0,2,3,Paramount Pictures,PG-13,98,2014
Annie,0,1,4,Sony Pictures,PG,118,2014
The Grand Budapest Hotel,0,2,3,Fox Searchlight,R,99,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,1,2,Walt Disney Pictures,PG,81,2014
The Boxtrolls,0,1,5,Focus Features,PG,96,2014
Tammy,0,1,2,Warner Bros. Pictures,R,97,2014
RoboCop,0,1,4,Sony Pictures Releasing,PG-13,117,2014
Muppets Most Wanted,0,1,6,Walt Disney Pictures,PG,107,2014
Son of God,0,1,3,20th Century Fox,PG-13,138,2014
The Hundred-Foot Journey,0,3,2,Walt Disney Pictures,PG,122,2014
Ouija,0,1,3,Universal Pictures,PG-13,89,2014
Jack Ryan: Shadow Recruit,0,2,3,Paramount Pictures,PG-13,105,2014
Planes: Fire & Rescue,0,1,4,Walt Disney Pictures,PG,83,2014
No Good Deed,0,1,5,Sony/Screen Gems,PG-13,84,2014
Into the Storm,0,1,4,Warner Bros. Pictures,PG-13,89,2014
Need for Speed,0,2,3,Walt Disney Studios,PG-13,132,2014
Horrible Bosses 2,0,1,2,Warner Bros. Pictures,R,108,2014
About Last Night,0,1,2,Sony Pictures,R,100,2014
A Million Ways to Die in the West,0,1,2,Universal Pictures,R,116,2014
The Theory of Everything,0,3,3,Focus Features,PG-13,123,2014
The Judge,0,1,2,Warner Bros. Pictures,R,141,2014
The Expendables 3,0,4,3,Lionsgate Pictures,PG-13,126,2014
Sex Tape,0,1,2,Sony Pictures,R,94,2014
The Giver,0,3,3,The Weinstein Company,PG-13,97,2014
St. Vincent,0,1,2,The Weinstein Company,PG-13,102,2014
